Total,Afrikaans,Black African,Coloured,English,Female,Indian or Asian,Male,Sepedi,Sesotho,Setswana,SiSwati,Sign language,Tshivenda,White,Xitsonga,isiNdebele,isiXhosa,isiZulu,locID
147,35,58,17,242,160,70,180,5,5,1,0,0,1,186,1,1,6,19,Greenstone Park
1052,54,843,77,660,771,130,671,73,44,98,5,1,17,368,22,26,48,160,Gresswold
1574,390,1118,322,917,1148,132,1123,35,115,77,7,6,17,673,46,61,84,325,Haddon
37,2,34,1,31,37,0,25,3,0,7,0,0,1,27,0,2,1,10,Hawkins Estate
9,0,7,0,0,3,0,4,2,0,3,0,0,1,0,0,0,0,1,Heriotdale
1426,21,1390,22,94,652,12,805,69,44,25,8,1,27,26,38,257,74,546,Highlands
2392,236,2007,107,3035,2570,276,2344,197,93,205,15,10,35,2431,61,169,133,469,Highlands North
73717,754,72888,638,7056,36649,189,37481,5126,2154,2714,716,301,2744,296,2052,11716,4234,26626,Hillbrow
1287,158,291,32,975,740,962,683,13,32,40,2,7,6,32,11,20,17,38,Homestead Park
5019,427,3097,158,4524,3939,1762,3928,294,221,279,39,32,94,2695,121,212,185,598,Houghton Estate
2102,110,1751,265,266,1178,84,1143,50,32,80,9,2,12,209,13,15,15,83,Hurst Hill
37,0,18,17,18,18,0,20,2,4,1,0,0,0,0,0,1,4,8,Industria
12,0,10,0,0,0,0,10,0,1,0,0,0,1,0,0,1,0,3,Industria West
1860,1204,889,873,651,1319,96,1325,72,93,138,8,10,17,752,33,37,46,78,Jan Hofmeyer
14044,474,13211,534,1857,7140,297,7655,431,396,278,254,52,171,602,270,404,704,7829,Jeppestown
9362,201,8571,629,130,1546,160,8196,105,146,97,21,16,36,364,60,15,106,221,Johannesburg Prison
41669,607,38223,1017,4857,21010,2427,22157,2137,1353,1751,575,166,1120,1060,1284,2500,2429,8898,Johannesburg SP
2323,84,1993,111,428,1150,217,1302,80,75,42,39,11,37,58,59,154,196,733,Judith's Paarl
7938,696,7067,635,2399,4509,234,4493,147,344,183,65,99,78,997,339,532,1011,1547,Kenilworth
11848,993,8810,1221,8808,9701,1815,9497,237,349,223,122,40,120,7095,171,258,364,1631,Kensington
102,26,79,3,260,200,18,155,11,5,19,0,0,0,243,6,6,5,13,Kentview
5590,106,5079,122,1604,2920,387,3039,623,347,440,53,112,150,355,213,232,466,1364,Kew
197,55,90,48,278,210,57,202,8,32,5,0,0,0,212,7,3,6,9,Kibler Park 1
3641,1077,2472,784,2329,2948,383,2671,176,395,349,39,16,84,1956,85,69,185,715,Kibler Park 2
3332,297,1829,119,3212,2975,1382,2228,264,113,272,34,9,37,1634,49,123,140,352,Killarney
13204,85,13147,50,437,6578,5,6742,3209,703,963,228,63,580,10,701,942,1703,3079,Klipfontein View
858,693,320,528,367,709,8,664,17,22,16,0,11,0,518,29,6,82,89,Klipriviersberg Estate
5,0,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1,Klipriviersberg Nature Reserve
10400,6101,1021,9229,3613,5375,148,5093,38,92,112,5,26,73,9,73,31,78,152,Klipspruit West
310,113,242,18,834,616,48,547,28,38,11,12,1,1,853,1,8,32,41,Lakeside
1155,97,352,104,851,623,697,669,18,41,72,2,0,9,108,8,25,10,66,Langlaagte North
4784,142,4498,234,827,2447,50,2684,235,260,109,104,6,37,343,310,210,489,953,La Rochelle
3394,222,2838,206,1511,2126,348,1959,210,544,304,32,19,112,668,131,43,170,696,Liefde en Vrede
918,183,737,108,343,559,71,597,28,68,32,5,2,8,239,50,53,101,222,Lindberg Park
1328,146,1222,48,2490,2076,56,1620,160,65,98,12,3,15,2358,28,47,60,161,Linksfield
2479,191,1786,209,2672,2080,482,1996,98,92,83,18,5,18,1415,55,58,113,297,Linksfield Ridge
1022,347,672,182,1876,1527,166,1385,28,54,28,1,0,21,1832,16,29,67,146,Linmeyer
12369,198,11847,201,1915,6562,319,6844,2328,1051,1062,168,29,667,973,1222,959,630,2490,Lombardy East
1054,6,1032,14,101,544,6,514,162,76,131,6,33,33,6,94,46,105,234,Lombardy West
2675,224,2031,612,585,1206,30,1567,195,154,181,11,4,8,92,305,58,439,542,Longdale
19,2,9,0,17,12,8,17,3,1,1,0,0,0,12,0,0,0,5,Longmeadow Business Estate
2960,59,2729,145,550,1456,84,1576,91,58,99,106,0,31,70,46,291,212,787,Lorentzville
2661,133,2152,146,2071,1959,361,1855,184,150,176,44,18,36,1130,48,98,150,506,Lyndhurst
9863,625,9051,659,2022,5049,151,5476,379,289,196,190,11,202,590,256,367,605,4172,Malvern
